1.106708 cert_ms23,11.1.498295 Live,12.1.700123 cert_ms30_oct19
20B9,166C,1B4E
208B,166D,1B20
115F,166E,0E24
20BA,166F,1B4F
20BB,1670,1B50
20BC,1671,1B51
20BD,1672,1B52
20BE,1673,1B53
2091,1674,1B26
20BF,1675,1B54
20E6,16A7,1B7B
20E7,16A8,1B7C
20E8,16A9,1B7D
20E9,16AA,1B7E
20EA,16AB,1B7F
20EB,16AC,1B80
20EC,16AD,1B81
20ED,16AE,1B82
20EE,16AF,1B83
20EF,16B0,1B84
20F0,16B1,1B85
20F1,16B2,1B86
1D11,12E2,1807
1D12,12E3,1808
1D13,12E4,1809
1D14,12E5,180A
1D15,12E6,180B
1B89,1153,16AA
1B8A,1154,16AB
1D16,12E7,180C
1D17,12E8,180D
1D18,12E9,180E
1D19,12EA,180F
15CD,0DB3,1317
1D1A,12EB,1810
1D1B,12EC,1811
31F5,191F,1EBA
31F6,1920,1EBB
31F7,1921,1EBC
31F8,1922,1EBD
31F9,1923,1EBE
31FA,1924,1EBF
31FB,1925,1EC0
31FC,1926,1EC1
31FD,1927,1EC2
1B80,114A,16A1
1B82,114C,16A3
1B83,114D,16A4
1B84,114E,16A5
0EE1,1155,0B75
1B8B,1156,16AC
1B8C,1157,16AD
1B8D,1158,16AE
1B90,115B,16B1
1B91,115C,16B2
1F88,1599,1A16
1F89,159A,1A17
1F8A,159B,1A18
1F8B,159C,1A19
1F8C,159D,1A1A
1F8D,159E,1A1B
1F8E,159F,1A1C
1F8F,15A0,1A1D
1F90,15A1,1A1E
1F91,15A2,1A1F
1F92,15A3,1A20
1F93,15A4,1A21
1F94,15A5,1A22
1C96,125C,178B
1C97,125D,178C
1C98,125E,178D
1C99,125F,178E
1C9A,1260,178F
1C9B,1261,1790
1C9C,1262,1791
1C9D,1263,1792
1C9E,1264,1793
1C9F,1265,1794
1CA0,1266,1795
15C9,0DAF,1313
1CA1,1267,1796
1CA2,1268,1797
24A1,185C,1E34
24A2,185D,1E35
24A3,185E,1E36
24A4,185F,1E37
24A5,1860,1E38
24A6,1861,1E39
24A7,1862,1E3A
24A8,1863,1E3B
24A9,1864,1E3C
24AA,1865,1E3D
24AB,1866,1E3E
225B,1867,1CFD
24AC,1868,1E3F
24AD,1869,1E40
24AE,186A,1E41
24AF,186B,1E42
3219,3034,342A
321A,3035,4619
3222,303D,461B
33B2,31B0,39DF
15A2,0D99,126F
33BB,31B9,39E7
33C3,31C1,39EF
3006,2EB4,456C
3007,2EB5,456D
3008,2EB6,456E
3009,2EB7,456F
300A,2EB8,4570
300B,2EB9,4571
300C,2EBA,4572
300D,2EBB,4573
300E,2EBC,4574
33CE,31CF,4640
33CF,31D0,4641
33D0,31D1,4642
33DB,31DC,464A
33DC,31DD,464B
33DD,31DE,464C
33DE,31DF,39A9
33E6,31E7,4653
3351,3149,3C23
3352,314A,3C24
33EB,31EC,4657
33EC,31ED,4658
33ED,31EE,4659
33EE,31EF,465A
33FA,31FC,4666
33FB,31FD,4667
33FC,31FE,4668
3407,3209,4673
340C,320E,4678
3410,3212,467C
3413,3215,467F
3416,3218,4682
324D,303F,3830
324E,3040,3831
3267,3059,3D3D
3273,3065,3D46
3274,3066,37C5
3283,3075,37F5
3284,3076,37F6
3285,3077,37F7
3292,3084,3D3C
32A5,3097,37B2
32B4,30A6,37C4
327D,306F,37C6
32BF,30B2,37D9
32C0,30B3,37DA
32C1,30B4,37DB
32C8,30BB,3847
32C9,30BC,3848
32CA,30BD,3849
32FA,30F0,387C
30A3,30F1,378B
32FB,30F2,387D
32FC,30F3,387E
3314,310B,3896
3315,310C,3897
3316,310D,3898
3419,321B,4685
3323,311A,461D
3324,311B,461E
341D,321F,4689
3423,3225,468F
342D,322F,4699
3430,3232,469C
3399,3197,39C3
339A,3198,39C4
339B,3199,39C5
3386,3181,3977
3387,3182,3978
3433,3235,3A7D
3437,3239,3A81
343A,323C,3A84
343D,323F,3A87
3440,3242,3A8A
3443,3245,3A8D
3446,3248,3A90
3449,324B,3A93
344C,324E,3A96
344F,3251,3A99
3452,3254,469F
2E57,2CF6,3A9D
3453,3255,46A0
3472,3274,46BE
347B,327D,46C7
347C,327E,46C8
3485,3287,46D1
34FB,4B96,4734
34FC,4B97,4735
34FD,4B98,4736
34FE,4B99,4737
34FF,4B9A,4738
3500,4B9B,4739
3501,4B9C,473A
3502,4B9D,473B
3503,4B9E,473C
3504,4B9F,473D
3505,4BA0,473E
35B9,4C11,47B8
35F9,3AA1,4212
360C,4C48,47EF
3619,4C55,47FC
361A,4C56,47FD
3625,3A91,4202
3631,3A9D,420E
3635,4C61,4808
3636,42E1,3C72
3640,4C62,4809
3641,4C63,480A
0C0C,070F,07DE
0E5C,0982,0A6B
01F9,010C,012A
0E5D,0983,0A6C
0C14,0717,07E6
0C15,0718,07E7
0C16,0719,07E8
0E5E,0984,0A6D
0C18,071B,07EA
0C19,071C,07EB
0C1A,071D,07EC
0C1B,071E,07ED
0C1C,071F,07EE
0C1D,0720,07EF
0E5F,0985,0A6E
0E60,0986,0A6F
0C0B,070E,07DD
0C0D,0710,07DF
0C0E,0711,07E0
0C0F,0712,07E1
0C10,0713,07E2
0C11,0714,07E3
0C12,0715,07E4
0C13,0716,07E5
0C17,071A,07E9
0C1E,0721,07F0
0C1F,0722,07F1
29DD,290B,326A
2C9E,2BBA,326B
3642,3592,326C
29DE,290C,326D
29DF,290D,326E
29E0,290E,326F
3643,3593,3270
3644,3594,3271
3645,3595,3272
3646,3596,3273
3647,3597,3275
3648,3598,3276
3649,3599,3277
2A03,2935,3278
2850,289D,3192
2CA2,2BBE,3279
364A,359A,327A
364B,359B,327B
3656,42EB,3599
3657,42EC,359A
2C9F,2BBB,359B
3658,42ED,359C
3659,42EE,359D
365A,42EF,359E
365B,42F0,359F
2B82,2AC3,35A0
2B7F,2AC0,35A1
2B80,2AC1,35A2
2B81,2AC2,35A3
365C,42F1,35A4
365D,42F2,35A5
365E,42F3,35A6
365F,42F4,35A7
3660,42F5,35A8
3661,42F6,35A9
2E72,2D11,35AA
3662,42F7,35AB
1A4C,1025,1582
3663,42F8,35AC
3664,3AEC,344A
371F,3C4F,3651
3720,3C50,3652
3721,3C51,3653
3722,3C52,3654
3723,3C53,3655
3724,3C54,3656
3725,3C55,3657
3726,3C56,3658
3727,3C57,3659
3728,3C58,365A
3729,3C59,365B
372A,3C5A,365C
372B,3C5B,365D
28DB,3C5C,365E
372C,3C5D,365F
2C9D,2BB9,3C7C
2B03,2A41,3C7D
2B04,2A42,3C7E
2B05,2A43,3C7F
2B06,2A44,3C80
2B07,2A45,3C81
2B08,2A46,3C82
2B09,2A47,3C83
2B0A,2A48,3C84
1A58,1030,158C
2CA0,2BBC,3C85
2CA1,2BBD,3C86
382F,3ADD,343B
3830,3ADE,343C
3831,3ADF,343D
3832,3AE0,343E
3833,3AE1,343F
3834,3AE2,3440
3835,3AE3,3441
3836,3AE4,3442
3837,3AE5,3443
36A9,3AE6,3444
3838,3AE7,3445
3839,3AE8,3446
383A,3AE9,3447
1A4B,1024,1581
383B,3AEA,3448
383C,3AEB,3449
38A2,3BB6,34FB
2CF0,2C16,34FC
38A3,3BB7,34FD
38A4,3BB8,34FE
38A5,3BB9,34FF
38A6,3BBA,3500
38A7,3BBB,3501
38A8,3BBC,3502
38A9,3BBD,3503
38AA,3BBE,3504
38AB,3BBF,3505
1A53,102C,1589
38AC,3BC0,3506
38AD,3BC1,3507
19C3,0EF3,1450
19C4,0EF4,1451
19C5,0EF5,1452
19C6,0EF6,1453
2157,1720,1BF3
2158,1721,1BF4
2159,1722,1BF5
12A3,0ADE,0F89
12A4,0ADF,0F8A
215A,1723,1BF6
15CA,0DB0,1314
215B,1724,1BF7
215C,1725,1BF8
393B,4C64,480B
393D,4C66,480D
393F,4C68,480F
3941,4C6A,4811
3943,4C6C,4813
3945,4C6E,4815
3948,4C71,4818
394A,4C73,481A
394C,4C75,481C
394E,4C77,481E
3950,4C79,4820
3952,4C7B,4822
359C,4BFA,479D
359D,4BFB,479E
359E,4BFC,479F
359F,4BFD,47A0
35A0,4BFE,47A1
35A1,4BFF,47A2
35A2,4C00,47A3
35A3,4C01,47A4
39C1,4AF1,484A
39C2,43B1,39A8
39C9,4C90,4850
39CA,4C91,4851
2BAA,2AEB,4854
3374,316C,3D47
3973,4117,3803
3974,4118,3804
3378,3173,3822
0266,0179,0197
3379,3174,3823
3954,3D67,378A
3955,3D68,378C
39CD,3AB9,3819
0226,0139,0157
329A,308C,37EA
398C,4C7D,4833
3991,3E9E,3A48
39D1,3AC1,3D54
39D5,4C94,4862
3988,412C,3D4B
39E1,4CA0,486E
39E5,3EC7,4453
33AC,31AA,39D9
39EC,4CA4,4872
39F4,4CAC,487A
39F9,4CB1,487F
39FC,3ED5,445E
3A0B,4CB4,4882
300F,2EBD,4575
3011,2EBF,4577
3013,2EC1,4579
3015,2EC3,457B
3017,2EC5,457D
302F,2EDD,3107
3030,2EDE,3108
3031,2EDF,3109
26AB,1CA6,235C
26AC,1CA7,235D
26AD,1CA8,235E
3040,2EEE,458F
3041,2EEF,4590
3052,2F00,45A4
305A,2F08,45AC
305B,2F09,45AD
306A,2F18,45BC
306B,2F19,45BD
307D,2F2B,45CF
1D34,0FCA,1528
029F,01B3,01D1
307C,2F2A,45CE
3087,2F35,45D9
3090,2F3E,374C
3091,2F3F,374D
3092,2F40,374E
3093,2F41,374F
1A7F,1055,15D4
3094,2F42,3750
3095,2F43,3751
2885,28D2,338F
1E75,0F64,14C1
1E76,0F65,14C2
1474,0C94,1142
1DE7,1407,18E0
1BE2,0F67,14C4
2222,18B3,1CBB
2539,1BD1,2240
22AE,18B4,1D50
22AF,18B5,1D51
22B0,18B6,1D52
22B1,18B7,1D53
22B2,18B8,1D54
22B3,18B9,1D55
22B4,18BA,1D56
22B5,18BB,1D57
22B6,18BC,1D58
22B7,18BD,1D59
22B9,18BE,1D5B
22BA,18BF,1D5C
22BB,18C0,1D5D
22BC,18C1,1D5E
22BD,18C2,1D5F
22BE,18C3,1D60
22BF,18C4,1D61
22C0,18C5,1D62
22C1,18C6,1D63
22C2,18C7,1D64
22C3,18C8,1D65
22C4,18C9,1D66
1E92,0F82,14DF
1E93,0F83,14E0
1E94,0F84,14E1
24EE,18CA,1E8E
22C5,18CB,1D67
22C6,18CC,1D68
22C7,18CD,1D69
22C8,18CE,1D6A
22C9,18CF,1D6C
253A,1BD2,2241
22CA,18D0,1D6D
22CB,18D1,1D6E
24EF,18D2,1E8F
24F0,18D3,1E90
24F1,18D4,1E91
24F2,18D5,1E92
24F3,18D6,1E93
22CC,18D7,1D6F
22CD,18D8,1D70
22CE,18D9,1D71
22CF,18DA,1D72
22D0,18DB,1D73
22D1,18DC,1D74
24F4,18DD,1E94
22D2,18DE,1D75
22D3,18DF,1D76
22D4,18E0,1D77
22D5,18E1,1D78
24F5,18E2,1E95
24F6,18E3,1E96
24F7,18E4,1E97
22D6,18E5,1D79
22D7,18E6,1D7A
1EB0,0FA0,14FE
1EB1,0FA1,14FF
1EB2,0FA2,1500
22D8,18E7,1D7B
22D9,18E8,1D7C
22DA,18E9,1D7D
1A3A,1013,1571
308F,2F3D,374B
2526,1BBB,222D
2556,1BF1,2260
2528,1BBD,222F
2529,1BBE,2230
2523,1BB8,222A
2524,1BB9,222B
2527,1BBC,222E
21A0,1769,1C3C
